2024-09-13 19:17:29 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 17724 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 19:17:29 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 19:17:34 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 5.467 seconds (process running for 6.236)
2024-09-13 19:19:37 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=I love you babe, originalLanguage=en, finalLanguage=ru]
2024-09-13 19:19:37 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = I love you babe 
2024-09-13 19:19:38 INFO  c.t.external.TranslationDefiner - Request has received: text = I love you babe 
2024-09-13 19:19:38 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 19:19:38 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=I love you babe, originalLang=en, translatedText=Я люблю тебя, targetLang=ru, time=2024/09/13 19:19:38, status=200, message=Ok]
2024-09-13 19:19:38 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 19:19:38 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 19:19:38 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 19:21:23 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=If you knew how strong I love you, originalLanguage=en, finalLanguage=ru]
2024-09-13 19:21:23 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = If you knew how strong I love you 
2024-09-13 19:21:24 INFO  c.t.external.TranslationDefiner - Request has received: text = If you knew how strong I love you 
2024-09-13 19:21:24 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 19:21:24 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=If you knew how strong I love you, originalLang=en, translatedText=Если бы ты знала, как сильно я тебя люблю, targetLang=ru, time=2024/09/13 19:21:24, status=200, message=Ok]
2024-09-13 19:21:24 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 19:21:24 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 19:21:24 INFO  c.t.controller.TranslationController - Response is sending to user
